"﻿""activities__logId""";activities__activityId;activities__activityParentId;activities__activityParentName;activities__name;activities__description;activities__calories;activities__distance;activities__steps;activities__duration;activities__lastModified;activities__startTime;activities__isFavorite;activities__hasActiveZoneMinutes;activities__startDate;activities__hasStartTime;summary__caloriesOut;summary__activityCalories;summary__caloriesBMR;summary__activeScore;summary__steps;summary__floors;summary__elevation;summary__sedentaryMinutes;summary__lightlyActiveMinutes;summary__fairlyActiveMinutes;summary__veryActiveMinutes;summary__distances__activity;summary__distances__distance;summary__marginalCalories;summary__restingHeartRate;goals__caloriesOut;goals__steps;goals__distance;goals__floors;goals__activeMinutes
2,98271E+18;90013;90013;Walk;Walk;Walking less than 2 mph, strolling very slowly;163;1.57946;2144;1375000;2025-03-11T13:56:22.047Z;13:37;False;True;11/03/2025;True;2918;1322;1835;-1;12430;9;27.432;1190;175;56;19;total;9.0868;933;52;2663;10000;11.27;10;30
4,04275E+18;90013;90013;Walk;Walk;Walking less than 2 mph, strolling very slowly;163;1.63483;2200;1369000;2025-03-11T14:26:41.735Z;14:52;False;True;11/03/2025;True;;;;;;;;;;;;tracker;9.0868;;;;;;;
8,16959E+18;90013;90013;Walk;Walk;Walking less than 2 mph, strolling very slowly;107;1.10614;1457;908000;2025-03-11T15:27:29.131Z;16:02;False;True;11/03/2025;True;;;;;;;;;;;;sedentaryActive;3.1142;;;;;;;
6,54337E+18;91042;91042;Strength training;Strength training;;252;;1738;4222000;2025-03-11T17:44:23.405Z;17:21;False;True;11/03/2025;True;;;;;;;;;;;;lightlyActive;1.5063;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;moderatelyActive;0.5116;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;veryActive;0.019;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;loggedActivities;4.32043;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Walk;1.57946;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Walk;1.63483;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Walk;1.10614;;;;;;;
"﻿""activities__logId""";activities__activityId;activities__activityParentId;activities__activityParentName;activities__name;activities__description;activities__calories;activities__distance;activities__steps;activities__duration;activities__lastModified;activities__startTime;activities__isFavorite;activities__hasActiveZoneMinutes;activities__startDate;activities__hasStartTime;summary__caloriesOut;summary__activityCalories;summary__caloriesBMR;summary__activeScore;summary__steps;summary__floors;summary__elevation;summary__sedentaryMinutes;summary__lightlyActiveMinutes;summary__fairlyActiveMinutes;summary__veryActiveMinutes;summary__distances__activity;summary__distances__distance;summary__marginalCalories;summary__restingHeartRate;goals__caloriesOut;goals__steps;goals__distance;goals__floors;goals__activeMinutes
6,46477E+18;90013;90013;Walk;Walk;Walking less than 2 mph, strolling very slowly;115;0.97608;1345;1294000;2025-03-12T12:39:10.770Z;13:03;False;True;12/03/2025;True;2883;1320;1836;-1;10917;8;24.384;1160;242;33;5;total;8.0725;882;52;2663;10000;11.27;10;30
;;;;;;;;;;;;;;;;;;;;;;;;;;;tracker;8.0725;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;sedentaryActive;2.0529;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;lightlyActive;2.7125;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;moderatelyActive;0.1337;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;veryActive;0.0;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;loggedActivities;0.97608;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Walk;0.97608;;;;;;;
"﻿""activities__logId""";activities__activityId;activities__activityParentId;activities__activityParentName;activities__name;activities__description;activities__calories;activities__distance;activities__steps;activities__duration;activities__lastModified;activities__startTime;activities__isFavorite;activities__hasActiveZoneMinutes;activities__startDate;activities__hasStartTime;summary__caloriesOut;summary__activityCalories;summary__caloriesBMR;summary__activeScore;summary__steps;summary__floors;summary__elevation;summary__sedentaryMinutes;summary__lightlyActiveMinutes;summary__fairlyActiveMinutes;summary__veryActiveMinutes;summary__distances__activity;summary__distances__distance;summary__marginalCalories;summary__restingHeartRate;goals__caloriesOut;goals__steps;goals__distance;goals__floors;goals__activeMinutes
7,61332E+18;90013;90013;Walk;Walk;Walking less than 2 mph, strolling very slowly;113;0.9746;1317;1024000;2025-03-13T14:36:39.337Z;12:57;False;True;13/03/2025;True;4561;2989;1836;-1;12325;11;33.528;1190;113;12;125;total;11.9897;2595;50;2663;10000;11.27;10;30
3,09765E+18;90013;90013;Walk;Walk;Walking less than 2 mph, strolling very slowly;143;1.2877;1752;1229000;2025-03-13T14:36:39.792Z;13:44;False;True;13/03/2025;True;;;;;;;;;;;;tracker;4.4897;;;;;;;
3,50224E+18;90009;90009;Run;Run;Running - 5 mph (12 min/mile);2330;7.5;6276;7140000;2025-03-14T01:22:16.136Z;22:00;False;True;13/03/2025;True;;;;;;;;;;;;sedentaryActive;0.8955;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;lightlyActive;0.1277;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;moderatelyActive;0.0548;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;veryActive;0.2744;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;loggedActivities;9.7623;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Walk;0.9746;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Walk;1.2877;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Run;7.5;;;;;;;
"﻿""activities__logId""";activities__activityId;activities__activityParentId;activities__activityParentName;activities__name;activities__description;activities__calories;activities__distance;activities__steps;activities__duration;activities__lastModified;activities__startTime;activities__isFavorite;activities__hasActiveZoneMinutes;activities__startDate;activities__hasStartTime;summary__caloriesOut;summary__activityCalories;summary__caloriesBMR;summary__activeScore;summary__steps;summary__floors;summary__elevation;summary__sedentaryMinutes;summary__lightlyActiveMinutes;summary__fairlyActiveMinutes;summary__veryActiveMinutes;summary__distances__activity;summary__distances__distance;summary__marginalCalories;summary__restingHeartRate;goals__caloriesOut;goals__steps;goals__distance;goals__floors;goals__activeMinutes
7,65488E+18;90013;90013;Walk;Walk;Walking less than 2 mph, strolling very slowly;85;0.89565;1204;749000;2025-03-14T19:17:07.461Z;19:49;False;True;14/03/2025;True;2717;1074;1837;-1;10513;10;30.48;1243;133;54;10;total;7.7304;765;52;2663;10000;11.27;10;30
8,1515E+18;90013;90013;Walk;Walk;Walking less than 2 mph, strolling very slowly;207;1.95703;2667;1695000;2025-03-14T20:48:27.959Z;21:10;False;True;14/03/2025;True;;;;;;;;;;;;tracker;7.7304;;;;;;;
6,01283E+18;90013;90013;Walk;Walk;Walking less than 2 mph, strolling very slowly;104;0.94272;1338;891000;2025-03-14T21:18:53.358Z;21:52;False;True;14/03/2025;True;;;;;;;;;;;;sedentaryActive;0.9113;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;lightlyActive;0.2243;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;moderatelyActive;0.0722;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;veryActive;0.0;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;loggedActivities;3.7954;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Walk;0.89565;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Walk;1.95703;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Walk;0.94272;;;;;;;
"﻿""activities__logId""";activities__activityId;activities__activityParentId;activities__activityParentName;activities__name;activities__description;activities__calories;activities__distance;activities__steps;activities__duration;activities__lastModified;activities__startTime;activities__isFavorite;activities__hasActiveZoneMinutes;activities__startDate;activities__hasStartTime;summary__caloriesOut;summary__activityCalories;summary__caloriesBMR;summary__activeScore;summary__steps;summary__floors;summary__elevation;summary__sedentaryMinutes;summary__lightlyActiveMinutes;summary__fairlyActiveMinutes;summary__veryActiveMinutes;summary__distances__activity;summary__distances__distance;summary__marginalCalories;summary__restingHeartRate;goals__caloriesOut;goals__steps;goals__distance;goals__floors;goals__activeMinutes
3,99999E+18;90013;90013;Walk;Walk;Walking less than 2 mph, strolling very slowly;522;5.2161;6995;4092000;2025-03-15T11:07:43.943Z;09:55;False;True;15/03/2025;True;3008;1438;1837;-1;14484;9;27.432;1180;149;37;74;total;10.8711;1030;50;2663;10000;11.27;10;30
