"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"1225391076365111888","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","149","1.3832","1808","1382000","2025-05-08T20:19:56.317Z","12:47","False","True","2025-05-08","True","3091","1388","1831","-1","11649","5","15.24","1185","173","60","22","total","8.8956","1023","55","2663","10000","11.27","10","30"
"2940146568445493832","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","263","1.87134","2834","2786000","2025-05-08T20:19:53.866Z","14:47","False","True","2025-05-08","True","","","","","","","","","","","","tracker","8.8956","","","","","","",""
"7888828961677668584","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","115","0.9393","1299","1024000","2025-05-08T20:19:57.224Z","16:20","False","True","2025-05-08","True","","","","","","","","","","","","sedentaryActive","5.9022","","","","","","",""
"1520698882622408432","90009","90009","Run","Run","Running - 5 mph (12 min/mile)","85","1.09369","977","417000","2025-05-08T20:19:53.909Z","17:17","False","True","2025-05-08","True","","","","","","","","","","","","lightlyActive","0.817","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","moderatelyActive","0.0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","0.0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","5.28753","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.3832","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.87134","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.9393","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Run","1.09369","","","","","","",""
