"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"9206632543527069512","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","93","0.82568","1142","835000","2025-03-23T14:49:39.041Z","15:20","False","True","2025-03-23","True","2962","1308","1841","-1","12655","6","18.288","1228","89","79","44","total","9.5063","976","46","2663","10000","11.27","10","30"
"7004905884700820488","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","239","2.19775","2888","2003000","2025-03-23T15:50:39.828Z","16:03","False","True","2025-03-23","True","","","","","","","","","","","","tracker","9.5063","","","","","","",""
"228688744709600520","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","353","3.03383","4083","3210000","2025-03-23T17:22:10.660Z","17:27","False","True","2025-03-23","True","","","","","","","","","","","","sedentaryActive","1.2633","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","lightlyActive","0.4992","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","moderatelyActive","0.5649","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","0.2321","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","6.05726","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.82568","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","2.19775","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","3.03383","","","","","","",""
