"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"3286047734946180768","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","100","1.01738","1347","817000","2025-03-30T12:40:13.091Z","13:22","False","True","2025-03-30","True","2788","1118","1844","-1","10133","5","15.24","1242","106","64","28","total","7.6018","806","45","2663","10000","11.27","10","30"
"5407916680715069320","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","102","1.01446","1358","846000","2025-03-30T14:11:13.985Z","14:51","False","True","2025-03-30","True","","","","","","","","","","","","tracker","7.6018","","","","","","",""
"3956900882432263840","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","130","1.01996","1463","1327000","2025-03-30T16:57:57.872Z","17:32","False","True","2025-03-30","True","","","","","","","","","","","","sedentaryActive","1.5256","","","","","","",""
"6910888708564172424","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","108","1.03157","1386","903000","2025-03-30T18:59:24.299Z","19:42","False","True","2025-03-30","True","","","","","","","","","","","","lightlyActive","0.5349","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","moderatelyActive","1.1042","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","0.3125","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","4.08337","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.01738","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.01446","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.01996","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.03157","","","","","","",""
