"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"8484619246603642296","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","133","1.2048","1618","1279000","2025-04-18T08:56:07.462Z","09:19","False","True","2025-04-18","True","3437","1917","1831","-1","14888","7","21.336","1063","281","83","13","total","10.5962","1365","54","2663","10000","11.27","10","30"
"2084333311488803944","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","128","0.69152","1055","2693000","2025-04-18T10:27:29.379Z","10:42","False","True","2025-04-18","True","","","","","","","","","","","","tracker","10.5962","","","","","","",""
"3566338173509162936","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","197","1.6595","2269","1946000","2025-04-18T11:27:27.129Z","11:43","False","True","2025-04-18","True","","","","","","","","","","","","sedentaryActive","3.5857","","","","","","",""
"8860767163843089832","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","119","1.098","1456","1126000","2025-04-18T13:02:39.331Z","13:31","False","True","2025-04-18","True","","","","","","","","","","","","lightlyActive","2.4448","","","","","","",""
"7398710097498822624","91042","91042","Strength training","Strength training","","396","","2187","7840000","2025-04-18T19:37:15.712Z","18:15","False","True","2025-04-18","True","","","","","","","","","","","","moderatelyActive","0.7777","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","0.7204","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","4.6538200000000005","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.2048","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.69152","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.6595","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.098","","","","","","",""
