"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"7613317674231852032","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","113","0.9746","1317","1024000","2025-03-13T14:36:39.337Z","12:57","False","True","2025-03-13","True","4561","2989","1836","-1","12325","11","33.528","1190","113","12","125","total","11.9897","2595","50","2663","10000","11.27","10","30"
"3097649531320503760","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","143","1.2877","1752","1229000","2025-03-13T14:36:39.792Z","13:44","False","True","2025-03-13","True","","","","","","","","","","","","tracker","4.4897","","","","","","",""
"3502244295725670888","90009","90009","Run","Run","Running - 5 mph (12 min/mile)","2330","7.5","6276","7140000","2025-03-14T01:22:16.136Z","22:00","False","True","2025-03-13","True","","","","","","","","","","","","sedentaryActive","0.8955","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","lightlyActive","0.1277","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","moderatelyActive","0.0548","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","0.2744","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","9.7623","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.9746","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.2877","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Run","7.5","","","","","","",""
