"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"1625739716483211648","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","122","1.13586","1519","963000","2025-03-25T13:39:12.470Z","14:11","False","True","2025-03-25","True","2883","1270","1842","-1","11042","3","9.144","1209","153","51","27","total","8.2409","907","46","2663","10000","11.27","10","30"
"6137652562518651768","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","161","1.50676","2020","1355000","2025-03-25T14:39:52.897Z","15:14","False","True","2025-03-25","True","","","","","","","","","","","","tracker","8.2485","","","","","","",""
"6939198976989756104","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","134","1.12794","1552","1303000","2025-03-25T16:26:17.408Z","16:55","False","True","2025-03-25","True","","","","","","","","","","","","sedentaryActive","1.6412","","","","","","",""
"7914072440411066600","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","73","0.71746","958","614000","2025-03-25T18:42:55.292Z","19:28","False","True","2025-03-25","True","","","","","","","","","","","","lightlyActive","0.8546","","","","","","",""
"6042739589897714720","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","82","0.52442","758","959000","2025-03-25T20:14:01.695Z","20:47","False","True","2025-03-25","True","","","","","","","","","","","","moderatelyActive","0.1218","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","0.0038","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","5.01244","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.13586","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.50676","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.12794","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.71746","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.52442","","","","","","",""
