"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"9067484006014114728","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","74","0.60133","842","950000","2025-04-02T09:50:40.419Z","10:04","False","True","2025-04-02","True","2951","1273","1846","-1","11739","15","45.72","1215","145","32","48","total","8.7872","928","49","2663","10000","11.27","10","30"
"5226518662581478920","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","70","0.6756","919","690000","2025-04-02T13:38:06.751Z","14:03","False","True","2025-04-02","True","","","","","","","","","","","","tracker","8.7872","","","","","","",""
"296958099322165976","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","561","5.26562","7077","4647000","2025-04-02T17:14:58.819Z","16:44","False","True","2025-04-02","True","","","","","","","","","","","","sedentaryActive","1.6622","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","lightlyActive","0.7406","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","moderatelyActive","0.1181","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","0.2671","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","6.54255","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.60133","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.6756","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","5.26562","","","","","","",""
