"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"2982713873048822896","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","163","1.57946","2144","1375000","2025-03-11T13:56:22.047Z","13:37","False","True","2025-03-11","True","2918","1322","1835","-1","12430","9","27.432","1190","175","56","19","total","9.0868","933","52","2663","10000","11.27","10","30"
"4042750712149394112","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","163","1.63483","2200","1369000","2025-03-11T14:26:41.735Z","14:52","False","True","2025-03-11","True","","","","","","","","","","","","tracker","9.0868","","","","","","",""
"8169588175855111984","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","107","1.10614","1457","908000","2025-03-11T15:27:29.131Z","16:02","False","True","2025-03-11","True","","","","","","","","","","","","sedentaryActive","3.1142","","","","","","",""
"6543369072669376672","91042","91042","Strength training","Strength training","","252","","1738","4222000","2025-03-11T17:44:23.405Z","17:21","False","True","2025-03-11","True","","","","","","","","","","","","lightlyActive","1.5063","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","moderatelyActive","0.5116","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","0.019","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","4.32043","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.57946","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.63483","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.10614","","","","","","",""
