"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"7566523537526143544","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","473","4.46688","5927","3643000","2025-03-26T12:27:42.501Z","12:21","False","True","2025-03-26","True","3256","1713","1842","-1","15206","2","6.096","1159","167","26","88","total","11.4578","1270","45","2663","10000","11.27","10","30"
"7519366878882810008","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","197","1.88446","2504","1561000","2025-03-26T15:14:02.413Z","14:24","False","True","2025-03-26","True","","","","","","","","","","","","tracker","11.4578","","","","","","",""
"3678053188986739224","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","91","0.92211","1243","770000","2025-03-27T08:47:16.376Z","19:35","False","True","2025-03-26","True","","","","","","","","","","","","sedentaryActive","2.9234","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","lightlyActive","2.7049","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","moderatelyActive","1.1252","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","1.31","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","7.2734499999999995","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","4.46688","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.88446","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.92211","","","","","","",""
