"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"7165715331404242976","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","114","0.9646","1291","1076000","2025-04-29T09:40:07.006Z","10:06","False","True","2025-04-29","True","3557","1938","1831","-1","14131","6","18.288","1092","225","103","20","total","10.312228","1446","51","2663","10000","11.27","10","30"
"5382194681622645360","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","89","0.78632","1048","748000","2025-04-29T17:55:53.748Z","18:42","False","True","2025-04-29","True","","","","","","","","","","","","tracker","10.1708","","","","","","",""
"6396958821270073040","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","223","1.78246","2539","2453000","2025-04-29T19:26:54.389Z","19:45","False","True","2025-04-29","True","","","","","","","","","","","","sedentaryActive","1.869028","","","","","","",""
"4355566905409825312","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","263","1.7942","2647","2509000","2025-04-29T23:21:38.841Z","23:23","False","True","2025-04-29","True","","","","","","","","","","","","lightlyActive","0.7164","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","moderatelyActive","1.4208","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","0.733","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","5.32758","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.9646","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.78632","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.78246","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.7942","","","","","","",""
