"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"6550064778479668552","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","85","0.83396","1126","762000","2025-03-24T11:34:35.680Z","12:17","False","True","2025-03-24","True","2852","1197","1841","-1","11822","9","27.432","1243","97","43","57","total","8.909","892","45","2663","10000","11.27","10","30"
"5853598438922244768","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","494","4.7568","6293","3617000","2025-03-24T22:15:52.132Z","13:44","False","True","2025-03-24","True","","","","","","","","","","","","tracker","8.909","","","","","","",""
"5391666408487959272","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","91","0.65491","938","1645000","2025-03-24T22:15:52.030Z","17:23","False","True","2025-03-24","True","","","","","","","","","","","","sedentaryActive","3.416","","","","","","",""
"814045541213027520","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","64","0.61361","829","536000","2025-03-24T22:15:52.124Z","22:58","False","True","2025-03-24","True","","","","","","","","","","","","lightlyActive","0.9106","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","moderatelyActive","0.6037","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","0.3195","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","6.85928","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.83396","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","4.7568","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.65491","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.61361","","","","","","",""
