"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"730864013893810440","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","69","0.64947","865","502000","2025-03-17T08:42:00.501Z","09:02","False","True","2025-03-17","True","3346","1784","1838","-1","15487","17","51.816","1158","144","68","70","total","11.6199","1344","47","2663","10000","11.27","10","30"
"4295811603219868904","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","109","1.02756","1418","924000","2025-03-17T12:00:53.590Z","12:38","False","True","2025-03-17","True","","","","","","","","","","","","tracker","11.6199","","","","","","",""
"6268363358896494040","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","446","4.35005","5810","3596000","2025-03-17T15:09:00.578Z","13:32","False","True","2025-03-17","True","","","","","","","","","","","","sedentaryActive","3.4507","","","","","","",""
"8830918618493245208","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","103","1.07032","1442","899000","2025-03-17T17:07:16.758Z","16:10","False","True","2025-03-17","True","","","","","","","","","","","","lightlyActive","0.8352","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","moderatelyActive","0.7483","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","2.0383","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","7.0974","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.64947","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.02756","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","4.35005","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.07032","","","","","","",""
