"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"6429029788696951880","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","167","1.53789","2132","1574000","2025-05-02T15:30:45.811Z","15:54","False","True","2025-05-02","True","3217","1573","1831","-1","13646","11","33.528","1134","239","65","2","total","10.0707","1130","51","2663","10000","11.27","10","30"
"3880199946652747720","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","76","0.60891","873","770000","2025-05-02T16:01:09.009Z","16:33","False","True","2025-05-02","True","","","","","","","","","","","","tracker","10.0707","","","","","","",""
"6520312029253219416","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","155","1.1299","1625","1690000","2025-05-05T07:24:43.596Z","20:30","False","True","2025-05-02","True","","","","","","","","","","","","sedentaryActive","3.3733","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","lightlyActive","1.3038","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","moderatelyActive","1.4061","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","0.0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","3.2767","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.53789","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.60891","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.1299","","","","","","",""
