"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"5013666697899328112","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","76","0.57048","809","1040000","2025-04-16T11:49:31.390Z","10:31","False","True","2025-04-16","True","3120","1410","1831","-1","11073","14","42.672","657","206","30","22","total","8.077757","1045","53","2663","10000","11.27","10","30"
"721629067603676240","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","98","0.8472","1141","921000","2025-04-16T14:47:23.906Z","15:00","False","True","2025-04-16","True","","","","","","","","","","","","tracker","7.8492","","","","","","",""
"5221850035419020776","91042","91042","Strength training","Strength training","","214","","390","7717000","2025-04-16T18:58:10.610Z","16:31","False","True","2025-04-16","True","","","","","","","","","","","","sedentaryActive","2.49036","","","","","","",""
"1068331871352491632","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","427","2.9934","4251","3584000","2025-04-16T22:59:58.684Z","22:54","False","True","2025-04-16","True","","","","","","","","","","","","lightlyActive","0.530039","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","moderatelyActive","0.340181","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","0.060056","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","4.41108","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.57048","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.8472","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","2.9934","","","","","","",""
