"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"2678547785149992","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","91","0.757","990","921000","2025-04-26T09:46:48.522Z","10:20","False","True","2025-04-26","True","3554","2137","1831","-1","16864","10","30.48","1012","330","93","5","total","12.7981","1497","50","2663","10000","11.27","10","30"
"4915071956257565744","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","232","2.0178","2639","2407000","2025-04-26T11:02:16.516Z","11:09","False","True","2025-04-26","True","","","","","","","","","","","","tracker","12.7981","","","","","","",""
"1190528544956260344","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","136","1.2418","1624","1331000","2025-04-26T19:34:10.664Z","18:44","False","True","2025-04-26","True","","","","","","","","","","","","sedentaryActive","3.2794","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","lightlyActive","3.0297","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","moderatelyActive","1.5101","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","0.1996","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","4.0166","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.757","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","2.0178","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.2418","","","","","","",""
