"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"1795846943479533672","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","498","4.7854","6298","3589000","2025-03-18T10:55:13.229Z","10:46","False","True","2025-03-18","True","3336","1760","1838","-1","16051","9","27.432","1008","98","61","92","total","12.0653","1366","45","2663","10000","11.27","10","30"
"4823471175443931120","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","339","3.25747","4395","2790000","2025-03-18T13:11:46.974Z","13:10","False","True","2025-03-18","True","","","","","","","","","","","","tracker","12.0653","","","","","","",""
"342218675727720104","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","188","1.69427","2277","1900000","2025-03-18T14:43:07.605Z","14:57","False","True","2025-03-18","True","","","","","","","","","","","","sedentaryActive","3.2099","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","lightlyActive","1.0134","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","moderatelyActive","0.0114","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","0.0198","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","9.73714","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","4.7854","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","3.25747","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.69427","","","","","","",""
