"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"1240329241458322640","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","199","1.81316","2418","1409000","2025-03-19T08:55:58.882Z","09:12","False","True","2025-03-19","True","3462","1920","1839","-1","18434","7","21.336","622","121","24","144","total","13.8239","1465","44","2663","10000","11.27","10","30"
"8979072079689021712","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","530","5.03379","6736","4120000","2025-03-19T11:57:56.117Z","11:38","False","True","2025-03-19","True","","","","","","","","","","","","tracker","13.8239","","","","","","",""
"6627503337902918592","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","333","3.1747","4269","2582000","2025-03-19T17:33:50.073Z","17:41","False","True","2025-03-19","True","","","","","","","","","","","","sedentaryActive","3.6717","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","lightlyActive","0.9136","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","moderatelyActive","0.1481","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","0.8992","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","10.02165","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.81316","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","5.03379","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","3.1747","","","","","","",""
