"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"5175848393501643880","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","77","0.58676","834","1059000","2025-04-22T13:48:22.841Z","14:13","False","True","2025-04-22","True","3452","1952","1831","-1","13434","10","30.48","1045","328","48","19","total","9.597843","1373","51","2663","10000","11.27","10","30"
"1075925527226974840","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","97","0.77205","1075","1118000","2025-04-22T15:11:05.788Z","15:46","False","True","2025-04-22","True","","","","","","","","","","","","tracker","9.5757","","","","","","",""
"2651483526374566344","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","115","0.81568","1224","1284000","2025-04-22T17:57:02.682Z","18:35","False","True","2025-04-22","True","","","","","","","","","","","","sedentaryActive","2.8621","","","","","","",""
"3879634041761785016","91042","91042","Strength training","Strength training","","397","","1419","8173000","2025-04-22T20:59:10.648Z","19:35","False","True","2025-04-22","True","","","","","","","","","","","","lightlyActive","2.459665","","","","","","",""
"7347151523147863728","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","137","1.2143","1625","1332000","2025-04-22T22:45:26.149Z","23:09","False","True","2025-04-22","True","","","","","","","","","","","","moderatelyActive","0.6565","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","0.0709","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","3.3887899999999997","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.58676","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.77205","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.81568","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.2143","","","","","","",""
