"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"8346712163420657400","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","243","2.32721","3100","1929000","2025-03-27T23:21:51.033Z","11:07","False","True","2025-03-27","True","3142","1554","1843","-1","16840","9","27.432","1194","93","57","96","total","12.655","1165","44","2663","10000","11.27","10","30"
"7896112558706717464","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","268","2.40099","3184","1974000","2025-03-27T23:21:50.984Z","13:03","False","True","2025-03-27","True","","","","","","","","","","","","tracker","12.655","","","","","","",""
"6282807633051175296","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","162","1.56987","2098","1298000","2025-03-27T23:21:50.979Z","16:20","False","True","2025-03-27","True","","","","","","","","","","","","sedentaryActive","2.6454","","","","","","",""
"5152547841571912688","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","193","1.7033","2317","1902000","2025-03-27T23:21:51.033Z","18:18","False","True","2025-03-27","True","","","","","","","","","","","","lightlyActive","1.3523","","","","","","",""
"6505778752345929432","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","214","2.06011","2730","1763000","2025-03-27T23:21:51.033Z","19:22","False","True","2025-03-27","True","","","","","","","","","","","","moderatelyActive","2.0412","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","0.9966","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","10.06148","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","2.32721","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","2.40099","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.56987","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","1.7033","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","2.06011","","","","","","",""
