"activities__logId","activities__activityId","activities__activityParentId","activities__activityParentName","activities__name","activities__description","activities__calories","activities__distance","activities__steps","activities__duration","activities__lastModified","activities__startTime","activities__isFavorite","activities__hasActiveZoneMinutes","activities__startDate","activities__hasStartTime","summary__caloriesOut","summary__activityCalories","summary__caloriesBMR","summary__activeScore","summary__steps","summary__floors","summary__elevation","summary__sedentaryMinutes","summary__lightlyActiveMinutes","summary__fairlyActiveMinutes","summary__veryActiveMinutes","summary__distances__activity","summary__distances__distance","summary__marginalCalories","summary__restingHeartRate","goals__caloriesOut","goals__steps","goals__distance","goals__floors","goals__activeMinutes"
"6006510758734417016","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","73","0.72742","978","618000","2025-03-22T22:10:06.755Z","15:01","False","True","2025-03-22","True","3474","1835","1840","-1","16216","19","57.912","1199","129","25","87","total","15.8428","1469","44","2663","10000","11.27","10","30"
"3910059586550895832","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","74","0.74184","981","624000","2025-03-22T22:10:06.810Z","16:24","False","True","2025-03-22","True","","","","","","","","","","","","tracker","15.8428","","","","","","",""
"4884029595274644648","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","0","0.0","0","7000","2025-03-22T22:10:06.866Z","21:19","False","True","2025-03-22","True","","","","","","","","","","","","sedentaryActive","0.935","","","","","","",""
"881532695748618336","90009","90009","Run","Run","Running - 5 mph (12 min/mile)","897","10.74565","9376","3816000","2025-03-22T22:10:06.748Z","21:19","False","True","2025-03-22","True","","","","","","","","","","","","lightlyActive","0.353","","","","","","",""
"1508584417220644824","90013","90013","Walk","Walk","Walking less than 2 mph, strolling very slowly","135","0.831","1110","973000","2025-03-22T22:10:09.867Z","22:22","False","True","2025-03-22","True","","","","","","","","","","","","moderatelyActive","0.1251","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","veryActive","1.1928","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","loggedActivities","13.04591","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.72742","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.74184","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Run","10.74565","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Walk","0.831","","","","","","",""
