"dateOfSleep","duration","efficiency","endTime","infoCode","isMainSleep","levels__data__dateTime","levels__data__level","levels__data__seconds","levels__summary__|","levels__summary__|__count","levels__summary__|__minutes","levels__|","levels__||","levels__||__count","levels__||__minutes","levels__||__thirtyDayAvgMinutes","levels__|__dateTime","levels__|__level","levels__|__seconds","logId","logType","minutesAfterWakeup","minutesAsleep","minutesAwake","minutesToFallAsleep","startTime","timeInBed","type"
"2025-05-10","51660000","98","2025-05-10T08:20:30.000","0","True","","","","","","","data","","","","","2025-05-09T17:59:00.000","light","210","49215509310","auto_detected","0","796","65","0","2025-05-09T17:59:00.000","861","stages"
"","","","","","","","","","","","","","","","","","2025-05-09T18:02:30.000","deep","4410","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-09T19:16:00.000","light","1200","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-09T19:36:00.000","deep","1230","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-09T19:56:30.000","light","2130","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-09T20:32:00.000","rem","1050","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-09T20:49:30.000","light","1680","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-09T21:17:30.000","rem","300","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-09T21:22:30.000","light","180","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-09T21:25:30.000","deep","900","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-09T21:40:30.000","light","510","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-09T21:49:00.000","rem","1140","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-09T22:08:00.000","light","2850","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-09T22:55:30.000","wake","330","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-09T23:01:00.000","light","30","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-09T23:01:30.000","rem","1080","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-09T23:19:30.000","light","510","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-09T23:28:00.000","rem","360","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-09T23:34:00.000","light","2730","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-10T00:19:30.000","deep","420","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-10T00:26:30.000","light","1470","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-10T00:51:00.000","rem","780","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-10T01:04:00.000","light","4560","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-10T02:20:00.000","rem","1950","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-10T02:52:30.000","light","3210","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-10T03:46:00.000","rem","780","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-10T03:59:00.000","light","660","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-10T04:10:00.000","rem","480","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-10T04:18:00.000","light","2700","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-10T05:03:00.000","rem","1260","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-10T05:24:00.000","wake","780","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-10T05:37:00.000","light","4230","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-10T06:47:30.000","deep","480","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-10T06:55:30.000","light","150","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-10T06:58:00.000","rem","1260","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-10T07:19:00.000","light","270","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-10T07:23:30.000","wake","330","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-10T07:29:00.000","light","2880","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2025-05-10T08:17:00.000","wake","210","","","","","","","","",""
"","","","","","","","","","","","","shortData","","","","","2025-05-09T18:02:30.000","wake","180","","","","","","","","",""
