"value__|","value__|__breathingRate","dateTime"
"deepSleepSummary","15.6","2025-04-11"
"remSleepSummary","15.8",""
"fullSleepSummary","15.6",""
"lightSleepSummary","16",""
"deepSleepSummary","16.8","2025-04-12"
"remSleepSummary","-1",""
"fullSleepSummary","16.8",""
"lightSleepSummary","-1",""
"deepSleepSummary","15.6","2025-04-13"
"remSleepSummary","15.8",""
"fullSleepSummary","15.6",""
"lightSleepSummary","16",""
"deepSleepSummary","14.4","2025-04-14"
"remSleepSummary","15.8",""
"fullSleepSummary","14.4",""
"lightSleepSummary","14.6",""
"deepSleepSummary","14.8","2025-04-15"
"remSleepSummary","15.8",""
"fullSleepSummary","14.8",""
"lightSleepSummary","14.6",""
"deepSleepSummary","16.6","2025-04-17"
"remSleepSummary","14.4",""
"fullSleepSummary","16.6",""
"lightSleepSummary","15.8",""
"deepSleepSummary","15.6","2025-04-18"
"remSleepSummary","16.8",""
"fullSleepSummary","15.6",""
"lightSleepSummary","15.2",""
"deepSleepSummary","15.4","2025-04-19"
"remSleepSummary","14.8",""
"fullSleepSummary","15.4",""
"lightSleepSummary","14.8",""
"deepSleepSummary","16","2025-04-20"
"remSleepSummary","15.4",""
"fullSleepSummary","16",""
"lightSleepSummary","15",""
"deepSleepSummary","15.8","2025-04-21"
"remSleepSummary","16",""
"fullSleepSummary","15.8",""
"lightSleepSummary","15.6",""
"deepSleepSummary","17","2025-04-22"
"remSleepSummary","15.4",""
"fullSleepSummary","17",""
"lightSleepSummary","15.8",""
"deepSleepSummary","16","2025-04-23"
"remSleepSummary","15.4",""
"fullSleepSummary","16",""
"lightSleepSummary","15.8",""
"deepSleepSummary","16.8","2025-04-24"
"remSleepSummary","15.6",""
"fullSleepSummary","16.8",""
"lightSleepSummary","16",""
"deepSleepSummary","15.8","2025-04-25"
"remSleepSummary","15",""
"fullSleepSummary","15.2",""
"lightSleepSummary","15.2",""
"deepSleepSummary","15.4","2025-04-26"
"remSleepSummary","13.8",""
"fullSleepSummary","15.4",""
"lightSleepSummary","15.2",""
"deepSleepSummary","17.6","2025-04-27"
"remSleepSummary","15",""
"fullSleepSummary","17.6",""
"lightSleepSummary","16.6",""
"deepSleepSummary","18","2025-04-28"
"remSleepSummary","-1",""
"fullSleepSummary","18",""
"lightSleepSummary","17.4",""
"deepSleepSummary","17.2","2025-04-29"
"remSleepSummary","26.8",""
"fullSleepSummary","17.2",""
"lightSleepSummary","16.2",""
"deepSleepSummary","16.4","2025-04-30"
"remSleepSummary","16",""
"fullSleepSummary","16.4",""
"lightSleepSummary","16",""
"deepSleepSummary","16.8","2025-05-01"
"remSleepSummary","16.4",""
"fullSleepSummary","16.8",""
"lightSleepSummary","16.6",""
"deepSleepSummary","17.4","2025-05-02"
"remSleepSummary","15.2",""
"fullSleepSummary","17.4",""
"lightSleepSummary","16.6",""
"deepSleepSummary","-1","2025-05-03"
"remSleepSummary","-1",""
"fullSleepSummary","0",""
"lightSleepSummary","-1",""
"deepSleepSummary","17","2025-05-04"
"remSleepSummary","17.2",""
"fullSleepSummary","17",""
"lightSleepSummary","16.4",""
"deepSleepSummary","17.6","2025-05-05"
"remSleepSummary","12.4",""
"fullSleepSummary","17.6",""
"lightSleepSummary","16.2",""
"deepSleepSummary","16.6","2025-05-06"
"remSleepSummary","15.6",""
"fullSleepSummary","16.6",""
"lightSleepSummary","16.2",""
"deepSleepSummary","17.2","2025-05-07"
"remSleepSummary","17",""
"fullSleepSummary","17.2",""
"lightSleepSummary","17",""
"deepSleepSummary","18","2025-05-08"
"remSleepSummary","18",""
"fullSleepSummary","18",""
"lightSleepSummary","17.4",""
"deepSleepSummary","17.8","2025-05-10"
"remSleepSummary","16.6",""
"fullSleepSummary","17.8",""
"lightSleepSummary","16.4",""
